Host_Prot	Path_Prot	Similarity_Score
UNIPROT_AC:Q13242	UNIPROT_AC:P19811	0.105
UNIPROT_AC:P0CG43	UNIPROT_AC:P04585	0.0
UNIPROT_AC:A0A0G2UI58	UNIPROT_AC:Q81MN9	0.11
UNIPROT_AC:Q9Y2Y1	UNIPROT_AC:P05777	0.04
UNIPROT_AC:Q91ZR2	UNIPROT_AC:P03129	0.0525
UNIPROT_AC:Q68CP9	UNIPROT_AC:Q91NH1	0.06
INTACT:EBI-1033611	UNIPROT_AC:Q7CJQ8	0.0
UNIPROT_AC:A0A0A8K975	UNIPROT_AC:Q81X77	0.06
UNIPROT_AC:Q16891	UNIPROT_AC:P05777	0.065
UNIPROT_AC:P51991	UNIPROT_AC:Q82506	0.045
UNIPROT_AC:Q9BD29	UNIPROT_AC:P38340	0.03
UNIPROT_AC:Q3SYZ4	UNIPROT_AC:P38753	0.03
UNIPROT_AC:P63119	UNIPROT_AC:P05919	0.03
UNIPROT_AC:H9BQ91	UNIPROT_AC:P03120	0.03
UNIPROT_AC:Q9NYI0	UNIPROT_AC:Q81MA8	0.03
UNIPROT_AC:Q96QE2	UNIPROT_AC:B4URF7	0.03
UNIPROT_AC:P54802	UNIPROT_AC:P03454	0.03
UNIPROT_AC:P48643	UNIPROT_AC:P05780	0.0375
UNIPROT_AC:P09471	UNIPROT_AC:P04601	0.075
UNIPROT_AC:P08238	UNIPROT_AC:P14335	0.095
UNIPROT_AC:P52815	UNIPROT_AC:P05777	0.075
UNIPROT_AC:P49959	UNIPROT_AC:P04296	0.125
UNIPROT_AC:P11308	UNIPROT_AC:P06430	0.0825
UNIPROT_AC:P06493	UNIPROT_AC:P05780	0.075
UNIPROT_AC:P62753	UNIPROT_AC:P08411	0.04
UNIPROT_AC:P00740	UNIPROT_AC:O41949	0.02
UNIPROT_AC:D6BP51	UNIPROT_AC:O94519	0.01
UNIPROT_AC:P13224	UNIPROT_AC:Q81KT8	0.0625
UNIPROT_AC:Q96CV9	UNIPROT_AC:P40325	0.085
UNIPROT_AC:P84098	UNIPROT_AC:Q89268	0.045
UNIPROT_AC:Q32Q63	UNIPROT_AC:Q81VT8	0.07
UNIPROT_AC:P0CG48	UNIPROT_AC:P17709	0.105
UNIPROT_AC:Q8N448	UNIPROT_AC:Q20MD0	0.055
UNIPROT_AC:Q80U95	UNIPROT_AC:Q6UK10	0.02
UNIPROT_AC:O95273	UNIPROT_AC:P53833	0.0675
UNIPROT_AC:Q14103	UNIPROT_AC:P03427	0.165
UNIPROT_AC:Q9NS73	UNIPROT_AC:Q2PJP1	0.025
UNIPROT_AC:Q9UJ14	UNIPROT_AC:P0CK50	0.01
UNIPROT_AC:Q8NGY3	UNIPROT_AC:P03495	0.06
UNIPROT_AC:A0A0P0YTB5	UNIPROT_AC:P33302	0.065
UNIPROT_AC:Q8CCJ9	UNIPROT_AC:P04591	0.085
UNIPROT_AC:P09651	UNIPROT_AC:P15659	0.18
UNIPROT_AC:Q9BXL5	UNIPROT_AC:P0C739	0.0425
UNIPROT_AC:P61353	UNIPROT_AC:P04620	0.03
UNIPROT_AC:P22413	UNIPROT_AC:P0C6Z1	0.06
UNIPROT_AC:O43521	UNIPROT_AC:P03495	0.25
UNIPROT_AC:P30281	UNIPROT_AC:P14079	0.075
UNIPROT_AC:O15533	UNIPROT_AC:F5HEU0	0.05
UNIPROT_AC:Q6IF99	UNIPROT_AC:P03430	0.03
UNIPROT_AC:P27824	UNIPROT_AC:Q5NEC0	0.08
UNIPROT_AC:P10124	UNIPROT_AC:Q7CIZ3	0.035
UNIPROT_AC:P05067	UNIPROT_AC:P06428	0.105
UNIPROT_AC:Q9HBT6	UNIPROT_AC:P06788	0.03
UNIPROT_AC:A0A0A7C4K0	UNIPROT_AC:Q7CGH6	0.015
UNIPROT_AC:Q3SYG4	UNIPROT_AC:Q81JX0	0.045
UNIPROT_AC:O75324	UNIPROT_AC:P15659	0.025
UNIPROT_AC:O00186	UNIPROT_AC:Q5NGV7	0.045
UNIPROT_AC:P81877	UNIPROT_AC:Q5NHM9	0.08
UNIPROT_AC:P25490	UNIPROT_AC:P32561	0.1525
UNIPROT_AC:P0CG48	UNIPROT_AC:P14832	0.1425
UNIPROT_AC:P35232	UNIPROT_AC:Q8AZK7	0.09
UNIPROT_AC:O70458	UNIPROT_AC:P03203	0.03
UNIPROT_AC:Q86VP1	UNIPROT_AC:P04015	0.075
UNIPROT_AC:A8MQT2	UNIPROT_AC:P03430	0.01
UNIPROT_AC:P01912	UNIPROT_AC:Q5NF67	0.06
UNIPROT_AC:Q8WWX0	UNIPROT_AC:P0C739	0.04
UNIPROT_AC:Q9ZST4	UNIPROT_AC:P0A9Z1	0.1975
UNIPROT_AC:F6M8I7	UNIPROT_AC:Q2HR75	0.03
UNIPROT_AC:Q9UIA9	UNIPROT_AC:P0C739	0.0275
UNIPROT_AC:Q2TAY7	UNIPROT_AC:P15682	0.02
UNIPROT_AC:Q8NGJ1	UNIPROT_AC:Q89268	0.03
UNIPROT_AC:H0YJ76	UNIPROT_AC:P03120	0.0
UNIPROT_AC:Q9Y5H3	UNIPROT_AC:P03427	0.0275
UNIPROT_AC:D6RFJ7	UNIPROT_AC:P38703	0.1075
UNIPROT_AC:F5H7J8	UNIPROT_AC:P33309	0.0
UNIPROT_AC:Q16288	UNIPROT_AC:B2BUF1	0.2625
UNIPROT_AC:P18031	UNIPROT_AC:P04544	0.195
UNIPROT_AC:D3ZX42	UNIPROT_AC:P11313	0.0225
UNIPROT_AC:Q9UL58	UNIPROT_AC:B4URE8	0.03
UNIPROT_AC:Q9NZM1	UNIPROT_AC:P0CK49	0.02
UNIPROT_AC:P99999	UNIPROT_AC:P06429	0.085
UNIPROT_AC:Q7Z3A3	UNIPROT_AC:Q7CG08	0.03
UNIPROT_AC:O75604	UNIPROT_AC:P06428	0.065
UNIPROT_AC:Q5T170	UNIPROT_AC:Q81JF5	0.01
UNIPROT_AC:Q5T230	UNIPROT_AC:P04601	0.075
UNIPROT_AC:E9PQB8	UNIPROT_AC:P40984	0.0
UNIPROT_AC:Q13620	UNIPROT_AC:Q08273	0.27
UNIPROT_AC:P24278	UNIPROT_AC:P03070	0.12
UNIPROT_AC:D2DKX8	UNIPROT_AC:Q5NIJ3	0.0325
UNIPROT_AC:Q9BZK7	UNIPROT_AC:P12504	0.025
UNIPROT_AC:A0A140T9H5	UNIPROT_AC:Q9QLP4	0.03
UNIPROT_AC:Q9UBH6	UNIPROT_AC:P03427	0.045
UNIPROT_AC:P25789	UNIPROT_AC:P03427	0.125
UNIPROT_AC:P06241	UNIPROT_AC:P04601	0.18
UNIPROT_AC:Q9UEW8	UNIPROT_AC:P14079	0.11
UNIPROT_AC:O15524	UNIPROT_AC:P04591	0.04
UNIPROT_AC:Q9UHR4	UNIPROT_AC:B7UM99	0.025
UNIPROT_AC:A0AVI4	UNIPROT_AC:P04487	0.045
UNIPROT_AC:P35637	UNIPROT_AC:P03129	0.09
UNIPROT_AC:O15231	UNIPROT_AC:F5HCJ2	0.015
UNIPROT_AC:Q9BQE6	UNIPROT_AC:Q9WB91	0.0
UNIPROT_AC:Q8C2L6	UNIPROT_AC:Q12018	0.01
UNIPROT_AC:P05132	UNIPROT_AC:Q09838	0.1225
UNIPROT_AC:Q8BFY9	UNIPROT_AC:Q6UK10	0.055
UNIPROT_AC:P42858	UNIPROT_AC:P38704	0.06
UNIPROT_AC:P33778	UNIPROT_AC:Q05127	0.04
UNIPROT_AC:O08755	UNIPROT_AC:P03129	0.14
UNIPROT_AC:Q5FWF4	UNIPROT_AC:B9UPF3	0.01
UNIPROT_AC:Q9Y2D8	UNIPROT_AC:Q04712	0.09
UNIPROT_AC:Q9H7Z6	UNIPROT_AC:P53686	0.145
UNIPROT_AC:Q8NEC5	UNIPROT_AC:Q07986	0.035
UNIPROT_AC:Q13363	UNIPROT_AC:P03255	0.195
UNIPROT_AC:P13747	UNIPROT_AC:Q5NHX0	0.04
UNIPROT_AC:Q9NZI8	UNIPROT_AC:P04591	0.045
UNIPROT_AC:Q9HBE1	UNIPROT_AC:P03107	0.04
UNIPROT_AC:P52815	UNIPROT_AC:P03470	0.03
UNIPROT_AC:H7C0A4	UNIPROT_AC:P32502	0.1075
UNIPROT_AC:Q16825	UNIPROT_AC:P06464	0.045
UNIPROT_AC:E5RIQ9	UNIPROT_AC:Q08723	0.0
UNIPROT_AC:Q12791	UNIPROT_AC:P36801	0.0425
UNIPROT_AC:B3KW35	UNIPROT_AC:Q8ZHK5	0.1
UNIPROT_AC:A0A0K0KR64	UNIPROT_AC:Q81KT8	0.03
UNIPROT_AC:Q6ZSJ5	UNIPROT_AC:Q08204	0.045
UNIPROT_AC:P42226	UNIPROT_AC:Q8ZJB3	0.08
UNIPROT_AC:P52272	UNIPROT_AC:Q82506	0.155
UNIPROT_AC:O15523	UNIPROT_AC:O56264	0.075
UNIPROT_AC:Q9NZM1	UNIPROT_AC:Q1HVJ2	0.0525
UNIPROT_AC:D3DWG5	UNIPROT_AC:P32447	0.04
UNIPROT_AC:Q9P278	UNIPROT_AC:P03430	0.1025
UNIPROT_AC:E7EUU8	UNIPROT_AC:Q12055	0.125
UNIPROT_AC:B7ZAP0	UNIPROT_AC:P05777	0.0
UNIPROT_AC:O95671	UNIPROT_AC:P03470	0.0975
UNIPROT_AC:P07900	UNIPROT_AC:P03454	0.06
UNIPROT_AC:P09234	UNIPROT_AC:P04620	0.045
UNIPROT_AC:Q9HAV5	UNIPROT_AC:P06428	0.04
UNIPROT_AC:P0CG48	UNIPROT_AC:P39079	0.08
UNIPROT_AC:Q587N7	UNIPROT_AC:P03347	0.025
UNIPROT_AC:Q15717	UNIPROT_AC:P03430	0.16
UNIPROT_AC:Q9NR23	UNIPROT_AC:Q91B85	0.0375
UNIPROT_AC:Q38879	UNIPROT_AC:P29509	0.25
UNIPROT_AC:P05997	UNIPROT_AC:B4URE8	0.03
UNIPROT_AC:P31943	UNIPROT_AC:Q8ZGR6	0.045
UNIPROT_AC:Q8IWZ3	UNIPROT_AC:P12520	0.04
UNIPROT_AC:Q96LB1	UNIPROT_AC:P03211	0.045
UNIPROT_AC:Q12767	UNIPROT_AC:P03495	0.01
UNIPROT_AC:O75818	UNIPROT_AC:P05780	0.03
UNIPROT_AC:Q9NS73-5	UNIPROT_AC:Q06411	0.165
UNIPROT_AC:Q91YY5	UNIPROT_AC:P61830	0.035
UNIPROT_AC:Q16661	UNIPROT_AC:P0C737	0.025
UNIPROT_AC:Q30KQ2	UNIPROT_AC:Q8JU44	0.025
UNIPROT_AC:O75122	UNIPROT_AC:Q89268	0.055
UNIPROT_AC:P68104	UNIPROT_AC:P04487	0.095
UNIPROT_AC:Q04864	UNIPROT_AC:P03129	0.185
UNIPROT_AC:Q5STJ7	UNIPROT_AC:P68590	0.03
UNIPROT_AC:Q14332	UNIPROT_AC:P06927	0.09
UNIPROT_AC:I2G868	UNIPROT_AC:P40127	0.015
UNIPROT_AC:Q9H3R5	UNIPROT_AC:Q2PJP1	0.025
UNIPROT_AC:O95178	UNIPROT_AC:P24830	0.025
UNIPROT_AC:Q8TD20	UNIPROT_AC:P03427	0.03
UNIPROT_AC:P62805	UNIPROT_AC:Q84940	0.16
UNIPROT_AC:Q6ZUK4	UNIPROT_AC:P03496	0.01
UNIPROT_AC:P52569	UNIPROT_AC:P24835	0.0525
UNIPROT_AC:Q61827	UNIPROT_AC:P27958	0.13
UNIPROT_AC:P17987	UNIPROT_AC:Q20MH0	0.02
UNIPROT_AC:Q86Y26	UNIPROT_AC:P03129	0.01
UNIPROT_AC:Q14160	UNIPROT_AC:Q6VE52	0.165
UNIPROT_AC:Q15293	UNIPROT_AC:Q8AZK7	0.03
UNIPROT_AC:Q9UBK9	UNIPROT_AC:Q7CHU1	0.07
UNIPROT_AC:Q9UKJ8	UNIPROT_AC:P04620	0.03
UNIPROT_AC:B4YBA8	UNIPROT_AC:Q7CKH1	0.03
UNIPROT_AC:P00533	UNIPROT_AC:B9UPF3	0.055
UNIPROT_AC:M0QX05	UNIPROT_AC:P47041	0.0
UNIPROT_AC:O43823	UNIPROT_AC:P03129	0.11
UNIPROT_AC:A0A098CJY9	UNIPROT_AC:Q8VSC3	0.0275
UNIPROT_AC:Q99741	UNIPROT_AC:P03211	0.145
UNIPROT_AC:Q12772	UNIPROT_AC:Q5NH95	0.03
UNIPROT_AC:P51513	UNIPROT_AC:P05777	0.045
UNIPROT_AC:Q96T76	UNIPROT_AC:P06428	0.05
UNIPROT_AC:P53990	UNIPROT_AC:Q1HVJ2	0.02
UNIPROT_AC:Q4W5F7	UNIPROT_AC:P40481	0.01
UNIPROT_AC:P68104	UNIPROT_AC:P06932	0.09
UNIPROT_AC:D5H3U0	UNIPROT_AC:P40956	0.0325
UNIPROT_AC:Q6T4P5	UNIPROT_AC:P36780	0.045
UNIPROT_AC:Q9BRU9	UNIPROT_AC:P04601	0.095
UNIPROT_AC:P15285	UNIPROT_AC:P06782	0.04
UNIPROT_AC:Q9BQ87	UNIPROT_AC:P03129	0.1325
UNIPROT_AC:P26368	UNIPROT_AC:P05777	0.045
UNIPROT_AC:Q71DI3	UNIPROT_AC:Q89268	0.09
UNIPROT_AC:B5MEV3	UNIPROT_AC:P03070	0.025
UNIPROT_AC:O00522	UNIPROT_AC:Q81R37	0.03
UNIPROT_AC:P60709	UNIPROT_AC:P24835	0.0725
UNIPROT_AC:O15551	UNIPROT_AC:Q89268	0.045
UNIPROT_AC:Q9P1Z2	UNIPROT_AC:P03508	0.055
UNIPROT_AC:P53365	UNIPROT_AC:P36780	0.055
UNIPROT_AC:O43432	UNIPROT_AC:Q6QDQ4	0.01
UNIPROT_AC:Q14651	UNIPROT_AC:P05777	0.0525
UNIPROT_AC:Q86VY4	UNIPROT_AC:P03225	0.01
UNIPROT_AC:Q9UMK7	UNIPROT_AC:Q06132	0.0
UNIPROT_AC:Q9JIY7	UNIPROT_AC:Q8AZK7	0.045
UNIPROT_AC:Q9H320	UNIPROT_AC:P04601	0.055
UNIPROT_AC:Q9NVZ3	UNIPROT_AC:P06788	0.0225
UNIPROT_AC:Q92879	UNIPROT_AC:Q1HVI8	0.0725
UNIPROT_AC:P05386	UNIPROT_AC:P03430	0.1
UNIPROT_AC:Q8N7X2	UNIPROT_AC:B4URE7	0.0
UNIPROT_AC:P63302	UNIPROT_AC:P06428	0.03
UNIPROT_AC:Q9NVV9	UNIPROT_AC:Q12161	0.0975
UNIPROT_AC:H0YH60	UNIPROT_AC:P32897	0.03
UNIPROT_AC:E9PM75	UNIPROT_AC:Q5NGW2	0.04
UNIPROT_AC:P0CG48	UNIPROT_AC:P22515	0.0875
UNIPROT_AC:Q13232	UNIPROT_AC:P0C6Z1	0.025
UNIPROT_AC:Q8WUX9	UNIPROT_AC:B4URE9	0.03
UNIPROT_AC:Q5JQS6	UNIPROT_AC:P03454	0.03
UNIPROT_AC:P62805	UNIPROT_AC:Q997F2	0.125
UNIPROT_AC:A0A140VJP7	UNIPROT_AC:P02293	0.025
UNIPROT_AC:Q7Z5M8	UNIPROT_AC:P0C739	0.015
UNIPROT_AC:P30050	UNIPROT_AC:Q1HVI8	0.0325
UNIPROT_AC:Q9UBC0	UNIPROT_AC:P05777	0.045
